Obs Type,Source,Species,Lat,Lon
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",41.45,-69
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",42.35,-67.41666667
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",39.91666667,-70.7
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",40.2,-68.13333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",40.16666667,-68.26666667
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",37.76666667,-74.16666667
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",42.28333333,-64.98333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",39.46666667,-71.16666667
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",22.8,-78.83333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",43.68333333,-67.65
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",43.63333333,-69.23333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",32.72361111,-77.34166667
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",,
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",35.75833333,-74.8
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",33.70416667,-76.01388889
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",38.36388889,-73.53333333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",49.664415,-0.192137
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",39.98333333,-70.3125
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",34.00833333,-76.175
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",34.66111111,-75.24444444
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",41.575,-65.90833333
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",41.54722222,-65.91666667
Specimen/Lot,MCZ,"	Bathypolypus	bairdii",43.874551,-69.490119
Specimen ,Miami,Bathypolypus bairdii,30,-80.133333
Specimen ,Miami,Bathypolypus bairdii,30,-80.133333
Specimen ,Miami,Bathypolypus bairdii,32.966667,-77.166667
Specimen ,Miami,Bathypolypus bairdii,32.966667,-77.166667
Specimen ,Miami,Bathypolypus bairdii,32.966667,-77.166667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,29.65,-80.191667
Specimen ,Miami,Bathypolypus bairdii,25.233333,-80.041667
Specimen ,Miami,Bathypolypus bairdii,29.7,-80.166667
Specimen ,Miami,Bathypolypus bairdii,29.7,-80.166667
Specimen ,Miami,Bathypolypus bairdii,29.7,-80.166667
Specimen ,Miami,Bathypolypus bairdii,31.9,-79.15
Specimen ,Miami,Bathypolypus bairdii,29.45,-80.133333
Specimen ,Miami,Bathypolypus bairdii,29.45,-80.133333
Specimen ,Miami,Bathypolypus bairdii,29.45,-80.133333
Specimen ,Miami,Bathypolypus bairdii,29.45,-80.133333
Specimen ,Miami,Bathypolypus bairdii,42.2,-66.916667
Specimen ,Miami,Bathypolypus bairdii,29.833333,-80.166667
Specimen ,Miami,Bathypolypus bairdii,29.833333,-80.166667
Specimen ,Miami,Bathypolypus bairdii,30.533333,-80.316667
Specimen ,Miami,Bathypolypus bairdii,25,-79
Specimen ,Miami,Bathypolypus bairdii,25,-79
Specimen ,Miami,Bathypolypus bairdii,29.15,-80.016667
Specimen ,Miami,Bathypolypus bairdii,29.15,-80.016667
Specimen ,Miami,Bathypolypus bairdii,26.616667,-79.833333
Specimen ,Miami,Bathypolypus bairdii,26.616667,-79.833333
Specimen ,Miami,Bathypolypus bairdii,24.8,-80.2
Specimen ,Miami,Bathypolypus bairdii,25.666667,-80.048333
