Obs Type,Source,Species,Depth
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,640
Specimen/Lot,NMNH,Bathypolypus bairdii,320
Specimen/Lot,NMNH,Bathypolypus bairdii,265
Specimen/Lot,NMNH,Bathypolypus bairdii,265
